epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1856,0.072,0.193,0.035
2,0.1846,0.077,0.18819999999999998,0.059
3,0.185,0.075,0.1846,0.077
4,0.1844,0.078,0.184,0.08
5,0.18420000000000003,0.079,0.18380000000000002,0.081
6,0.184,0.08,0.18399999999999997,0.08
7,0.1832,0.084,0.1838,0.081
8,0.17900000000000002,0.105,0.17980000000000002,0.101
9,0.17760000000000004,0.112,0.1804,0.098
10,0.1768,0.116,0.1818,0.091
11,0.17700000000000002,0.115,0.182,0.09
12,0.17640000000000003,0.118,0.1814,0.093
13,0.17639999999999997,0.118,0.1808,0.096
14,0.1764,0.118,0.18159999999999998,0.092
15,0.1768,0.116,0.18159999999999998,0.092
16,0.17679999999999998,0.116,0.1808,0.096
17,0.17639999999999997,0.118,0.181,0.095
18,0.17679999999999998,0.116,0.1816,0.092
19,0.1768,0.116,0.18100000000000002,0.095
20,0.1774,0.113,0.1812,0.094
